team1,team2
Jun Hao Leong,Kantawat Leelavechabutr
Teck Zhi Soo,Chico Aura Dwi Wardoyo
Mek Narongrit,Yee Han Chong
Mithun Manjunath,Henrikho Kho Wibowo
Chirag Sen,Hashiru Shimono
Shreyansh Jaiswal,Fikri Ihsandi Hadmadi
Duc Phat Le,Kunlavut Vitidsarn
Dionysius Hayom Rumbaka,Korakrit Laotrakul
Kunlavut Vitidsarn,Jun Hao Leong
Tanongsak Saensomboonsuk,Dionysius Hayom Rumbaka
Thomas Rouxel,Kantaphon Wangcharoen
Ygor Coelho,Cao Cuong Pham
Suppanyu Avihingsanon,Cheuk Yiu Lee
Tien Minh Nguyen,Jason Anthony Ho-Shue
Abhishek Yelegar,Ihsan Maulana Mustofa
Yun Hu,Shesar Hiren Rhustavito
Panji Ahmad Maulana,Sitthikom Thammasin
Zulfadli Zulkiffli,Firman Abdul Kholik
Kim Bruun,Khosit Phetpradab
Daren Liew,Adulrach Namkul
Nan Wei,Karan Rajan Rajarajan
Hashiru Shimono,Jia Wei Tan
Misha Zilberman,Tommy Sugiarto
Pannawit Thongnuam,Panji Ahmad Maulana
Lucas Corvee,Suppanyu Avihingsanon
Cao Cuong Pham,Daren Liew
Kantaphon Wangcharoen,Misha Zilberman
Iskandar Zulkarnain,Lucas Corvee
Jason Anthony Ho-Shue,Thomas Rouxel
Joo Ven Soong,Joo Ven Soong
Sony Dwi Kuncoro,Kim Bruun
Kashyap Parupalli,June Wei Cheam
Subhankar Dey,Jonatan Christie
Chi Wing Lim,Zii Jia Lee
Tien Chen Chou,Wing Ki Vincent Wong
Emil Holst,Tzu Wei Wang
Hans-Kristian Solberg Vittinghus,Long Chen
Kazumasa Sakai,Anders Antonsen
Wan Ho Son,Ka Long Angus Ng
Hyeok Jin Jeon,Brice Leverdez
Anthony Sinisuka Ginting,Ygor Coelho
Wei Feng Chong,Chong Wei Lee
Dan Lin,Rasmus Gemke
Kenta Nishimoto,Hyun Il Lee
Yuxiang Huang,B. Sai Praneeth
Viktor Axelsen,Anthony Sinisuka Ginting
Anders Antonsen,Hyeok Jin Jeon
Ihsan Maulana Mustofa,Kenta Nishimoto
Jonatan Christie,Saputra Vicky Angga
Brice Leverdez,Enzi Shafira
Ka Long Angus Ng,Subhankar Dey
Krishna Adi Nugraha,Abhishek Yelegar
Shesar Hiren Rhustavito,Sony Dwi Kuncoro
Vega Vio Nirwanda,Jen Hao Hsu
Chao Yu Kan,Kazumasa Sakai
Sameer Verma,Dan Lin
Rajiv Ouseph,Emil Holst
Kanta Tsuneyama,Yuxiang Huang
Wing Ki Vincent Wong,Tien Chen Chou
Khosit Phetpradab,Hans-Kristian Solberg Vittinghus
Rasmus Gemke,Kashyap Parupalli
Kartikey Gulshan Kumar,Wei Feng Chong
Pratul Joshi,Wan Ho Son
Rahul Yadav Chittaboina,Siril Verma
Siddharth Pratap Singh,Bodhit Joshi
B. Sai Praneeth,Siddharth Pratap Singh
Vladimir Malkov,Iskandar Zulkarnain
Junpeng Zhao,Daniel S. Farid
Cheuk Yiu Lee,Ajay Kumar K.
H. S. Prannoy,Rahul Yadav Chittaboina
Sourabh Verma,Rajiv Ouseph
Tommy Sugiarto,Yun Hu
Bin Qiao,Nan Wei
Jen Hao Hsu,Srikanth Kidambi
Tzu Wei Wang,Shreyansh Jaiswal
Yuqi Shi,Yuqi Shi
Mathew Fogarty,Ajay Jayaram
Yehezkiel Fritz Mainaky,Kartikey Gulshan Kumar
Michael Spencer-Smith,Sameer Verma
Riichi Takeshita,Bin Qiao
Søren Toft,Philip Discher
R. M. V. Gurusaidutt,Lars Schaenzler
Luís Enrique Peñalver,Joel König
Yuehang Wang,Michal Rogalski
Philip Discher,Alexander Roovers
Joel König,Jan Frohlich
Sitthikom Thammasin,Yusuke Onodera
Christian Kirchmayr,Arnaud Merkle
Adam Mendrek,Riichi Takeshita
Lars Schaenzler,R. M. V. Gurusaidutt
Lucas Claerbout,Takuma Ueda
Zii Jia Lee,Kai Schaefer
Eetu Heino,Kento Momota
Kento Momota,Mark Caljouw
Yu Igarashi,Yu Igarashi
Arnaud Merkle,Koki Watanabe
Jan O Jorgensen,Jan O Jorgensen
Koki Watanabe,Kalle Koljonen
Rüdiger Gnedt,Alex Vlaar
Birger Abts,Søren Toft
David Peng,Wolfgang Gnedt
Zvonimir Durkinjak,Dmytro Zavadsky
Alexander Roovers,Chao Yu Kan
Kalle Koljonen,Valeriy Atrashchenkov
Hyun Il Lee,Junpeng Zhao
Dong Keun Lee,Zvonimir Durkinjak
Mark Caljouw,Pablo Abian
Long Chen,Kanta Tsuneyama
Roman Razaki,Tanongsak Saensomboonsuk
Joshua Magee,Dong Keun Lee
Valeriy Atrashchenkov,H. S. Prannoy
Toma Junior Popov,Romain Frank
Aneeth Kumar Repudi,Alexis Chollet
Hugo Jardim,Anant Shivam Jindal
Marc Laporte,Bernardo Atilano
Jocelyn Deschamp,Samuel Hsiao
Adel Hamek,Shinsai Deslauriers
Jonathan Persson,Remi Rossi
Pavel Kotsarenko,Hardik Makkar
Bilal Elharab,Raymond Webster
Hemanth M.Gowda,Adrian George
Kartik Jindal,Max Weisskirchen
Valentin Singer,Valentin Singer
Remi Rossi,Mohamed Abderrahime Belarbi
Samuel Hsiao,Michael Spencer-Smith
Duarte Nuno Anjo,Hemanth M.Gowda
Henri Aarnio,Aneeth Kumar Repudi
Milan Dratva,Leo Rossi
Iikka Heino,Abhishek Yeligar
Sam Parsons,Adam Mendrek
Kai Schaefer,Sergey Sirant
Romain Frank,Nhat Nguyen
Pablo Abian,Vladimir Malkov
Victor Svendsen,Sam Parsons
Wei Chi Liu,Eetu Heino
Yu Hsien Lin,Milan Ludik
Saputra Vicky Angga,Artem Pochtarov
Yufeng Cao,Rosario Maddaloni
Jiahao Yu,Joshua Magee
Zeqi Zhou,Iikka Heino
Shumin Liu,Lucas Claerbout
Zhong Zezhou,Sahil Sipani
Feixiang Sun,Victor Svendsen
Kuei Chun Shih,Pengbo Ren
Haokun Ye,Chia Hung Lu
Yun Kyu Lee,Yu Jen Chi
Xiang Li,Seong Hyun Son
Hongyang Weng,Qin Zheng
Young Woong Ha,Chih Chieh Yang
Yu Jen Chi,Shifeng Li
Haichao Liu,Haichao Liu
Shifeng Li,Chi Ting Chen
Chi Ting Chen,Guangzu Lu
Guangzu Lu,Kwang Hee Heo
Kwang Hee Heo,Yu Hsien Lin
Yupeng Bai,Yufeng Cao
Dylan Soedjasa,Zeqi Zhou
Yee Han Chong,Shumin Liu
Anthony Joe,Pannawit Thongnuam
Cham Chen,Andre Marteen
Pengbo Ren,Chengming Ren
Pit Seng Low,Tien Minh Nguyen
Kodai Naraoka,Chia Hao Lee
Lakshya Sen,Hongyang Weng
Abhinav Manota,Feixiang Sun
Ajay Jayaram,Kodai Naraoka
Niluka Karunaratne,Robert Mann
Yang Shen,Oscar Guo
Karan Rajan Rajarajan,Anthony Joe
Takuma Ueda,Niluka Karunaratne
June Wei Cheam,Abhinav Manota
Milan Ludik,Lakshya Sen
Antonio Li,Cham Chen
Nicholas Bonkowsky,De Jun Jackie Tan
Timothy Chiu,Dimitri Han
Xiaodong Sheng,Peter Yan
Hin Shun Wong,Pit Seng Low
Timothy Lam,Sourabh Verma
Sankeerth B. R.,Yehezkiel Fritz Mainaky
Mark Shelley Alcala,Sankeerth B. R.
Phillips Jap,Howard Shu
Howard Shu,Mark Shelley Alcala
Toby Penty,Grimaldy Navirio Gunawan
Kartikay Tyagi,Phillips Jap
Seyed Mohammad Hossein Vakili,Yun Kyu Lee
Bo Zhao,Xiaodong Sheng
Guoxing Huang,Fabian Roth
Alexander Bianchini,Jacob Nilsson
Kevin Lee,Joshua Hurlburt-Yu
Kok Hong Woon,Johnathan Akin-Mulrooney
Phillipe Charron,Niccolo Tagle
Imran Wadia,Minoru Koga
Maxime Tétreault,Carlo Glenn Remo
Mathieu Morneau,Anthony Nguyen
Joshua Hurlburt-Yu,Takuma Obayashi
Aaron Zhao,Bao Duc Duong
Minoru Koga,Enrico Asuncion
Kevin Cordon,Minh Bao
Max Weisskirchen,Guoxing Huang
Kevin Barkman,Kevin Lee
Hoang Nam Nguyen,Andrew Zhuang
Takuma Obayashi,Timothy Lam
Chong Wei Lee,Antonio Li
Srikanth Kidambi,Mathieu Morneau
Kantawat Leelavechabutr,Imran Wadia
Henrikho Kho Wibowo,Toby Penty
Rosario Maddaloni,Fabio Caponio
Zin Rei Ryan Ng,Kean Yew Loh
Chia Hung Lu,Hin Shun Wong
Adulrach Namkul,Pratul Joshi
Fabio Caponio,Mithun Manjunath
Firman Abdul Kholik,Koji Naito
Kean Yew Loh,Alexey Panov
Dmitrii Riabov,Ilya Kamyshenkov
Jeffrey Lam,Chun Kar Lung
Elias Bracke,Artem Serpionov
Gergely Krausz,Vladimir Nikulov
Maksim Makalov,Luka Wraber
Fong Hau Sim,Chirag Sen
Luka Wraber,Nikita Fedotovskikh
Farouk Mohammed Hassan,Dmitrii Riabov
Ilya Goncharov,Matvei Manuylov
Ilya Kamyshenkov,Satheishtharan Ramachandran
Chun Kar Lung,Ryotaro Maruo
Satheishtharan Ramachandran,Yusei Baba
Egor Kurdyukov,Donghun Kim
Ryotaro Maruo,Vicky Angga Saputra
Vladimir Nikulov,Ratnajit Tamang
Yin Chak Chan,Hsuan Yi Hsueh
Chuan-En Hu,Ching Wei Chen
Chico Aura Dwi Wardoyo,Simon Wang
Seong Hyun Son,Jhotiswaran Karupathevan
Hsuan Yi Hsueh,Vijetha N. V. S.
Muhammad Bayu Pangisthu,Gatjra Piliang Fiqihila Cupu
Naohiro Matsukawa,Seng Zoe Yeoh
Songjian Wu,Faiz Rozain
Naoki Yamazawa,En Chia Chang
Chih Chieh Yang,Yu-Hua Lai
Yiming Xu,Chun-Yi Lin
Chun-Yi Lin,Thu Thao Nguyen
Chia Hao Lee,Muhammad Bayu Pangisthu
Batdavaa Munkhbat,Kuei Chun Shih
Andrew Susanto,Siddharath Thakur
Nabin Shrestha,Saran Jamsri
"Yu Ming, Adam Lau",Georges Julien Paul
Carlo Glenn Remo,Zin Rei Ryan Ng
Thien Loc Nguyen,Chia Hsuan Lin
Phone Pyae Naing,Daniel Fan
Saran Jamsri,Hannes Gerberich
Thanh Long Truong,Alvaro Vazquez
Vincent Cheng Wei Phuah,Kari Gunnarsson
Siril Verma,Armand Rodriguez
"Yu Leong, Alfred Lau",Manuel Vazquez
Fikri Ihsandi Hadmadi,Christo Popov
Vijetha N. V. S.,Rasmus Messerschmidt
Simon Wang,Raul Must
Seng Zoe Yeoh,Toma Junior Popov
Jhotiswaran Karupathevan,Karan Choudhary
Abhishek Yeligar,Alap Mishra
Giap Chin Goh,Raghu Mariswamy
Gatjra Piliang Fiqihila Cupu,Yin Chak Chan
Eric Jr Timmerman,Munawar Mohammed
Alex Alcala Dominguez,Siddharth .
Raymond Webster,Yash Yogi
Rasmus Messerschmidt,Rajat Rathore
Hannes Gerberich,Manish Gupta
Manuel Vazquez,Ameya Oak
Alvaro Vazquez,Kaushal Dharmamer
Felix Burestedt,Arintap Das Gupta
Sarath Dunna,Eveshgaran Vasigaran
Abhyansh Singh,Balraj Kajla
Ikhsan Leonardo Imanuel Rumbay,Kartik Jindal
Aman Kumar,Kanishq M
Ansal Yadav,Aditya Joshi
Sai Charan Koya,Yun Gyu Lee
Lauhit Pokuri,Harshit Aggarwal
Eveshgaran Vasigaran,Giap Chin Goh
Mayank Ahuja,Lauhit Pokuri
Balraj Kajla,Kevin Arokia Walter
Abhishek Kulkarni,Chi Wing Lim
Sachin Rawat,Herdian Muhamad Labib
Anant Shivam Jindal,Bobby Setiabudi
Arintap Das Gupta,Muhammad Rehan Diaz
Kaushal Dharmamer,Muhammad Aldo Apriyandi
Yash Yogi,Datu Mohd Saffuan Nizam Sardik
Munawar Mohammed,Daniel Hardiana Octavianus
Yun Gyu Lee,Muhammad Febriansyah
Vicky Angga Saputra,Farid Pramadita Gunawan
Adrian George,Yonathan Ramlie
Harshit Aggarwal,Hong Wei Ye
Aryamann Tandon,Auditya Alpha Hidayat
Daniel S. Farid,Aldy Firmanda
Kevin Arokia Walter,Andrew Susanto
Ferneel Hazael Sompie,Syabda Perkasa Belawa
Muh. Asqar Harianto,Christian Adinata
Syahzlan Hazwan Salleh,Rezha Akbar Raja Husain
Putra Suntana,Abdul Kadir Zailani
Gilang Abdillah Imaduddin,Isna Sakti Maulana Mustaqim Mustaqim
Riyanto Subagja,Karono Karono
Dean Bencha Wijaya,Muhammad Izzuddin Shamsul Muzli
Bagas Kristianto Nugroho,Hua Chun Liang
Christian Adinata,Riyanto Subagja
Abdul Kadir Zailani,Handoko Yusuf Wijayanto
Isna Sakti Maulana Mustaqim Mustaqim,Ikhsan Leonardo Imanuel Rumbay
Muh. Azahbru B Karsa,Bagas Kristianto Nugroho
Bobby Setiabudi,Nyoman Tryadnya Arya Kurniawan
Syabda Perkasa Belawa,Krishna Adi Nugraha
Muhammad Aldo Apriyandi,Young Woong Ha
Datu Mohd Saffuan Nizam Sardik,Seung Hoon Lee
Aldo Oktaviano Purnomo,Li Yang Su
Koji Naito,Chuan-En Hu
Misbun Ramdan Mohmed Misbun,Joonas Korhonen
Alberto Alvin Yulianto,Birger Abts
En Chia Chang,Joran Kweekel
Muhammad Febriansyah,Maxime Moreels
Muhammad Ziyad Md Tah,Emre Lale
Zulhelmi Zulkiffli,Henri Aarnio
Ajay Kumar K.,Gergely Krausz
Donghun Kim,Nick Fransman
Hua Chun Liang,Milan Dratva
Jaromir Janacek,Muhammed Ali Kurt
Dimitar Yanakiev,Pang Fong Pui
Jeppe Bruun,David Kramer
Dmytro Zavadsky,Mike Vallenthini
Dinuka Karunaratna,Rüdiger Gnedt
Artem Pochtarov,Yann Zaccaria
Joonas Korhonen,Elias Bracke
Muhammed Ali Kurt,Collins Valentine Filimon
Andre Marteen,Christian Kirchmayr
Ethan Rose,Jaromir Janacek
Thomas Fuchs,Harsheel Dani
Julian Edhofer,Shi Hang (Stephen) Lai
Cristian Savin,Abhyansh Singh
Yann Zaccaria,Felix Burestedt
Artem Serpionov,Ciar Pringle
Harsheel Dani,Jack Macgregor
David Kramer,Ethan Rose
Wolfgang Gnedt,Adam Lam
Jingtong Chen,Zach Russ
Jia Wei Tan,Albin Carl Hjelm
Bodhit Joshi,Andy Tsai
Siddharath Thakur,Hugo Jardim
Georges Julien Paul,Lukas Zevl
Alex Lane,Dimitar Yanakiev
Christopher Kan,Ben Torrance
Mark Brady,Christopher Grimley
Lukas Zevl,David Jones
Jonathan Dolan,Vinson Chiu
Christo Popov,Johnnie Torjussen
Heng Lin Ngan,Duarte Nuno Anjo
Christopher Grimley,Alex Lane
Johnnie Torjussen,Cristian Savin
Alex Marritt,Jong Woo Yim
Luke Pearce,Sameer VERMA
David Jones,Wan Ho SON
Nhat Nguyen,Anthony Sinisuka GINTING
Matthew Carder,Kantaphon WANGCHAROEN
Bernardo Atilano,Yuqi SHI
Ivan Rusev,Tommy SUGIARTO
Nick Fransman,Kento MOMOTA
Shiau Cheng Chen,Viktor Axelsen
Krzysztof Jakowczuk,Yuehang Wang
Kento MOMOTA,Bernat Amaya
Yuqi SHI,Pavel Kotsarenko
Tien Chen CHOU,Adel Hamek
Tommy SUGIARTO,Liang Liu
Wan Ho SON,Ping-Hsien Huang
Kantaphon WANGCHAROEN,Weiyi Zhang
Maxime Moreels,Dewei Liu
Armand Rodriguez,Bingyuan Li
Mohamed Abderrahime Belarbi,Kaian Wu
Ade Resky Dwicahyo,Zhengxing Wang
Emre Lale,Xujun Chen
Masashi Nishino,Geonyeop Cho
Junfeng Gu,Binghong Ye
Geonyeop Cho,Jingtong Chen
Lanxi Lei,Kuan-Ting Lin
Yunze Li,Xiang Li
Sheng Po Yu,Wei Chi Liu
Korakrit Laotrakul,Yang Yang
Zhengze Gao,Yen Chun Chen
Jhonatan Wu Zheng,Batdavaa Munkhbat
Kaian Wu,Lanxi Lei
Xujun Chen,Shiau Cheng Chen
Namboun Luangamath,Farouk Mohammed Hassan
Chengming Ren,Zhengze Gao
Weiyi Zhang,Daniel Nikolov
Yang Yang,Julien Carraggi
Ping-Hsien Huang,Ivan Rusev
Tobias Kuenzi,Teck Zhi Soo
Raul Must,Luís Enrique Peñalver
Luka Milic,Satinder Malik
Jan Louda,Patrick Bjerregaard
Azmy Qowimuramadhoni,Eason Wong
Karono Karono,Xavier Laperriere
Collins Valentine Filimon,Lan Xi Lei
Adrian Dziolko,Alexander Bianchini
Sergey Sirant,Seyed Mohammad Hossein Vakili
Daniel Nikolov,Sheng Po Yu
Siddharth .,Mateja Manic
Gurpartap Singh Dhaliwal,Mathew Fogarty
Hardik Makkar,Shi Feng Li
Peter Yan,Lino Munoz
Mateja Manic,Hai Chao Liu
Steffen Rasmussen,Ze Qi Zhou
Yunzhi Chen,Kevin Barkman
Pranav Srikanth,Hong Yang Weng
Miklos Kanyasi,Peng Bo Ren
Adwin Lau,Fei Xiang Sun
Brian Yang,Brian Yang
Yen-Yu Lee,Guang Zu Lu
Xavier Laperriere,Yu Xiang Huang
Hai Chao Liu,Yu Qi Shi
Lan Xi Lei,Gabriel Ma
Peng Bo Ren,Ilya Goncharov
Shi Feng Li,Vinh Quang Ho Nguyen
Fei Xiang Sun,Maksim Makalov
Hong Yang Weng,Amrullo Bakhshullaev
Vinson Chiu,Runze Yan
Cesar Adonis Brito Gonzalez,Dmitrii Klimenko
Nicholas Robert Henson Waller,Vladimir Shipilenko
Yu Xiang Huang,Chi Ming Wong
Runze Yan,Anton Ivanov
Vladimir Shipilenko,Anton Derbenev
Dmitrii Klimenko,Dai Watanabe
Miha Ivanič,Jun Peng Zhao
Matvei Manuylov,Kittipong Imnark
Alexey Panov,Rahul Bharadwaj B.M
Georgii Karpov,Gurpartap Singh Dhaliwal
Artyom Savatyugin,Phakorn Chotphinit
Dai Watanabe,Aryamann Tandon
Amrullo Bakhshullaev,Orijit Chaliha
Vinh Quang Ho Nguyen,Yu Peng Bai
Kiran George,Kenta Matsumura
Orijit Chaliha,Yosei Yamaguchi
Siddharth Jakhar,Ji Hoon Choi
Yu Peng Bai,Kee Liang Lau
Rishabh Deshpande,Shota Omoto
Kittipong Imnark,Jeffrey Lam
Talar Laa,Jia Wei Joel Koh
Rahul Bharadwaj B.M,Alberto Alvin Yulianto
Shota Omoto,Syahzlan Hazwan Salleh
Yusuke Onodera,Thuan Kim
Li Yang Su,Chacharit Yaowanit
Pang Fong Pui,Teerapat Kleawan
Thu Thao Nguyen,Praranat Praputtham
Hai Dang Nguyen,Tien Tuan Nguyen
Phakorn Chotphinit,Jun Yan Ng
Jun Yan Ng,Hai Dang Nguyen
Chien-Wei Chiang,Miha Ivanič
Md Tah M Ziyad,Mochamad Ryan Bintang Pradana
Guang Zu Lu,Muhammad Hafid Hendarto
Chia Hsuan Lin,Ferneel Hazael Sompie
Kar Lung Chun,Muh. Asqar Harianto
Ze Qi Zhou,Muh. Azahbru B Kasra
Jun Peng Zhao,Datu Mohd Shah Eizlan Sardik
Muhammad Farhan Ananto,Moch Fairuzzani Wahbatul Bida
M. Enrico Giralda Harsari,Galih Prasetyo Utomo
Aaron Sangga Wijaya,Diviana Arya Ramanda Putra
Muhammad Syafiq Iqbal Mohd Nadzri,Dimas Setiawan
Classius Chris Belandro,Aldo Oktaviano Purnomo
Novian Harya Pratama,Wisnu Yuli Prasetyo
Gabriel Evan Santoso,Kar Lung Chun
Wisnu Yuli Prasetyo,Ade Resky Dwicahyo
Muhammad Akhdan Widjanarko,Jovi Mikhael
Jovi Mikhael,Azmy Qowimuramadhoni
Datu Mohd Shah Eizlan Sardik,Kiran George
Jia Wei Joel Koh,Soren Opti
Handoko Yusuf Wijayanto,Jeppe Bruun
Aram Mahmoud,B.M.Rahul Bharadwaj
B.M.Rahul Bharadwaj,Osleni Guerrero
Joran Kweekel,Aidil Sholeh Ali Sadikin
Jacob Nilsson,Jonas Scheller
Leo Rossi,Brian Holtschke
Robert Mann,Christopher Klauer
Binghong Ye,Mattias Sonderskov
Yu Qi Shi,Jakob Godt
Innocenzo Santoro,Artyom Savatyugin
Felix Kruchten,Rowan Scheurkogel
Tobias Mund,Ansal Yadav
David Kim,Ching-Sheng Chang
Felix Hammes,Oriol Altimira
Jonas Scheller,Martin Bundgaard
Ansgar Kirste,Ditlev Jaeger Holm
Christopher Klauer,Jonathan Dolan
Lukas Resch,Mads Christophersen
Brian Holtschke,Tobias Kuenzi
Raghu Mariswamy,Magnus Johannesen
Alap Mishra,Erik Jr Timmerman
Ivan Valenzuela,Cesar Adonis Brito Gonzalez
Sergi Alcala,David Kim
Jofre Comella,Louis Ducrot
Oriol Altimira,Driss Bourroum
Leon Seiwald,Thomas Fourcade
Mads Christophersen,Harry Huang
Amaury Lievre,Yanis Gaudin
Harry Huang,Philip Illum Klindt
